CODGEO,LIBGEO,NBMENFISC16,NBPERSMENFISC16,MED16,DEP,MED16_quintiles,code_insee_commune_actualise,consommation_energie,estimation_ges,surface_thermique_lot,age_logement,classe_consommation_energie_A,classe_consommation_energie_B,classe_consommation_energie_C,classe_consommation_energie_D,classe_consommation_energie_E,classe_consommation_energie_F,classe_consommation_energie_G,classe_estimation_ges_A,classe_estimation_ges_B,classe_estimation_ges_C,classe_estimation_ges_D,classe_estimation_ges_E,classe_estimation_ges_F,classe_estimation_ges_G,classe_age_Neuf (<5ans),classe_age_Récent (entre 5 et 10 ans),classe_age_Entre 10 et 25 ans,classe_age_Entre 25 et 50 ans,classe_age_Entre 50 et 100 ans,classe_age_Plus de 100 ans,classe_surface_Moins de 30 m2,classe_surface_Entre 30 et 60 m2,classe_surface_Entre 60 et 100 m2,classe_surface_Plus de 100 m2,conso_energie_quintiles_Q1,conso_energie_quintiles_Q2,conso_energie_quintiles_Q3,conso_energie_quintiles_Q4,conso_energie_quintiles_Q5,estimation_ges_quintiles_Q1,estimation_ges_quintiles_Q2,estimation_ges_quintiles_Q3,estimation_ges_quintiles_Q4,estimation_ges_quintiles_Q5,surface_thermique_lot_median,age_logement_median,consommation_energie_median,estimation_ges_median,nombre_dpe
75056,Paris,1027657.0,2074629.5,26808.0,75,Q4,75056,286.4724133934321,35.55861171925306,62.100570582174136,144.0307791371539,0.014166130070830651,0.0180296200901481,0.08126207340631036,0.3093367675466838,0.3119124275595621,0.1733419188667096,0.09195106245975532,0.03618802318094012,0.17179652285898261,0.20824211204121057,0.14977462974887315,0.23837733419188667,0.14822923374114616,0.04739214423696072,0.02627173213135866,0.006825499034127496,0.033612363168061814,0.08808757244043786,0.70920798454604,0.13599484867997425,0.2798454603992273,0.40811332904056663,0.20824211204121057,0.10367031551835158,0.01699935608499678,0.03142305215711526,0.23927881519639407,0.2786864133934321,0.43361236316806184,0.07675466838377334,0.22640051513200257,0.12466194462330972,0.2531873792659369,0.31899549259497745,43.815,66.0,253.0,29.38,7765.0
75101,Paris 1er Arrondissement,8483.0,15477.0,32697.33333333333,75,Q5,75101,251.76721712538227,28.06613149847095,105.3208256880734,69.98165137614679,0.10397553516819572,0.03746177370030581,0.10015290519877676,0.26452599388379205,0.2668195718654434,0.14220183486238533,0.08486238532110092,0.12308868501529052,0.19724770642201836,0.19495412844036697,0.16055045871559634,0.19801223241590213,0.09250764525993883,0.03363914373088685,0.03287461773700306,0.0007645259938837921,0.019877675840978593,0.2805810397553517,0.5833333333333334,0.08256880733944955,0.286697247706422,0.30351681957186544,0.17966360856269112,0.2301223241590214,0.10779816513761468,0.06116207951070336,0.20412844036697247,0.2392966360856269,0.3876146788990826,0.16131498470948014,0.21865443425076453,0.13990825688073394,0.23853211009174313,0.2415902140672783,47.705,68.0,229.22,19.455,1308.0
75102,Paris 2e Arrondissement,11362.0,20563.0,30566.5,75,Q5,75102,244.0953825622776,18.80196619217082,68.30677046263345,70.24555160142349,0.15658362989323843,0.08451957295373666,0.0898576512455516,0.17793594306049823,0.25533807829181493,0.15658362989323843,0.0791814946619217,0.19661921708185054,0.24377224199288255,0.28380782918149466,0.12811387900355872,0.09430604982206406,0.03469750889679715,0.018683274021352312,0.0017793594306049821,0.0026690391459074734,0.008896797153024912,0.4599644128113879,0.451067615658363,0.07562277580071175,0.31583629893238435,0.3896797153024911,0.19217081850533807,0.10231316725978648,0.1610320284697509,0.10409252669039146,0.15302491103202848,0.1903914590747331,0.3914590747330961,0.22686832740213522,0.3202846975088968,0.1895017793594306,0.16548042704626334,0.09786476868327403,41.215,65.0,229.505,12.205,1124.0
75103,Paris 3e Arrondissement,17727.0,32292.5,31333.0,75,Q5,75103,253.86935750344193,23.066805874254246,67.62978430472694,73.22716842588343,0.12987608994951813,0.016521340064249657,0.08719596145020651,0.2638825149150987,0.278568150527765,0.1372189077558513,0.0867370353373107,0.15557595227168425,0.23497016980266178,0.22257916475447453,0.12804038549793484,0.17852225791647544,0.058742542450665444,0.021569527306103717,0.004589261128958238,0.002294630564479119,0.026158788435061954,0.3969710876548876,0.510325837540156,0.05966039467645709,0.28086278109224416,0.3625516291877008,0.22900413033501607,0.127581459385039,0.13217072051399725,0.03533731069297843,0.20468104635153742,0.23497016980266178,0.3928407526388252,0.18357044515832951,0.3106929784304727,0.12666360715924735,0.20789352914180817,0.17117944011014227,45.51,67.0,233.12,13.75,2179.0
75104,Paris 4e Arrondissement,13955.0,25585.5,31007.222222222223,75,Q5,75104,218.20724043715848,22.666639344262293,83.01801912568307,78.2438524590164,0.16325136612021857,0.13934426229508196,0.06352459016393443,0.19603825136612021,0.23565573770491804,0.12636612021857924,0.07581967213114754,0.18169398907103826,0.2718579234972678,0.18510928961748635,0.12636612021857924,0.14207650273224043,0.06215846994535519,0.030737704918032786,0.09699453551912568,0.001366120218579235,0.00273224043715847,0.3128415300546448,0.476775956284153,0.1092896174863388,0.24863387978142076,0.35792349726775957,0.23633879781420766,0.15710382513661203,0.2616120218579235,0.04918032786885246,0.16051912568306012,0.17759562841530055,0.3510928961748634,0.20491803278688525,0.3224043715846995,0.11612021857923498,0.1878415300546448,0.1687158469945355,49.035,67.0,207.36,12.68,1464.0
75105,Paris 5e Arrondissement,25976.0,48846.5,33169.333333333336,75,Q5,75105,240.64390821986888,28.699344427634898,84.46100403632694,68.44024205748866,0.09480584972264246,0.01361573373676248,0.18356026222894603,0.22138174483106404,0.26374180534543623,0.1573373676248109,0.06555723651033787,0.1124558749369642,0.16288451840645488,0.28996469994957136,0.13111447302067575,0.16792738275340394,0.08925869894099848,0.04639435199193142,0.0,0.0025214321734745334,0.01361573373676248,0.4241048915784165,0.4896621280887544,0.07009581442259204,0.394856278366112,0.31265758951084216,0.17397881996974282,0.11800302571860817,0.09581442259203228,0.14674735249621784,0.16338880484114976,0.2087745839636914,0.3852748361069087,0.13111447302067575,0.21633888048411498,0.2314674735249622,0.1880988401412002,0.2329803328290469,38.0,66.0,226.44,17.4,1983.0
75106,Paris 6e Arrondissement,18276.0,34144.5,39062.66666666666,75,Q5,75106,265.4473915237134,29.864858728557014,101.24609989909182,73.41019172552977,0.09182643794147326,0.036831483350151364,0.10595358224016145,0.24571140262361252,0.28809283551967707,0.14682139253279516,0.08476286579212916,0.12512613521695257,0.18920282542885974,0.2058526740665994,0.15388496468213925,0.20080726538849647,0.08022199798183653,0.04490413723511604,0.0025227043390514633,0.013622603430877902,0.01866801210898083,0.334510595358224,0.5645812310797175,0.06609485368314834,0.3077699293642785,0.29717457114026236,0.1917255297679112,0.20332996972754794,0.09485368314833502,0.07013118062563067,0.19979818365287588,0.22401614530776992,0.4112008072653885,0.13925327951564076,0.2623612512613522,0.12663975782038345,0.24419778002018164,0.22754793138244198,45.875,67.0,237.62,20.465,1982.0
75107,Paris 7e Arrondissement,24479.0,48151.5,42465.55555555556,75,Q5,75107,240.0125531161473,33.941480169971676,141.96561459440312,72.45113314447592,0.11756373937677053,0.02018413597733711,0.11543909348441926,0.32294617563739375,0.2762039660056657,0.09525495750708216,0.05240793201133145,0.15226628895184136,0.14447592067988668,0.14624645892351273,0.18590651558073654,0.2237960339943343,0.1048158640226629,0.042492917847025496,0.06019830028328612,0.009206798866855524,0.014164305949008499,0.3052407932011331,0.5219546742209632,0.08923512747875353,0.28541076487252126,0.2386685552407932,0.17669971671388102,0.2988668555240793,0.1193342776203966,0.05028328611898017,0.2588526912181303,0.2762039660056657,0.2953257790368272,0.16997167138810199,0.17740793201133145,0.1048158640226629,0.2988668555240793,0.24893767705382436,57.2,67.0,216.185,25.525,2824.0
75108,Paris 8e Arrondissement,17591.0,37836.0,40540.0,75,Q5,75108,231.5184668989547,30.662533598805375,168.5979392732703,74.09855649576905,0.13190642110502737,0.029865604778496764,0.1333997013439522,0.3026381284221005,0.22349427575908412,0.10353409656545545,0.07516177202588352,0.1523145843703335,0.1254355400696864,0.1642608262817322,0.17770034843205576,0.2344449975111996,0.10652065704330513,0.039323046291687404,0.013439522150323544,0.0009955201592832255,0.0273768043802887,0.3792931806869089,0.49427575908412147,0.08461921353907417,0.2264808362369338,0.21951219512195122,0.18616226978596317,0.3678446988551518,0.13588850174216027,0.05276256844201095,0.2882030861124938,0.23295171727227476,0.29019412643106024,0.1677451468392235,0.16824290691886512,0.11498257839721254,0.28720756595321056,0.2618218018914883,71.15,67.0,204.48,26.32,2009.0
75109,Paris 9e Arrondissement,29815.0,58708.0,33258.0,75,Q5,75109,237.70158992180714,24.050456125108603,85.69167753150803,68.41225021720243,0.1372719374456994,0.052997393570807995,0.0994787141615986,0.24370112945264988,0.2528236316246742,0.13119026933101652,0.08253692441355343,0.16507384882710685,0.17940920938314509,0.23935708079930496,0.16420503909643788,0.15334491746307558,0.07732406602953953,0.021285838401390096,0.043440486533449174,0.0034752389226759338,0.0369244135534318,0.31233709817549954,0.5125977410947002,0.09122502172024327,0.2710686359687228,0.3314509122502172,0.2315377932232841,0.16550825369244135,0.14031277150304083,0.07515204170286707,0.21242397914856648,0.21894005212858383,0.3531711555169418,0.18592528236316247,0.2645525629887055,0.14509122502172025,0.2363162467419635,0.1681146828844483,49.64,67.0,223.55,15.535,2302.0
